Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Jamaica,154.60,179.80,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"274,458.00","297,398.00","321,172.00","346,982.00","387,089.00","422,922.00","470,554.00","544,510.00","622,660.00","700,275.00","784,336.00","885,632.00","997,444.00","1,065,317.00","1,152,781.00","1,240,702.00","1,314,126.00","1,432,096.00","1,541,904.00","1,659,677.00","1,760,976.00","1,895,025.00","2,027,251.00","2,110,433.00","1,966,928.00","2,210,219.00","2,623,255.00"
Japan,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"510,916,200.00","521,613,600.00","535,562,000.00","543,545,300.00","536,497,400.00","528,069,900.00","535,417,800.00","531,653,900.00","524,478,700.00","523,968,700.00","529,400,900.00","532,515,600.00","535,170,200.00","539,281,700.00","527,823,800.00","494,938,400.00","505,530,600.00","497,449,000.00","500,474,600.00","508,700,600.00","518,811,100.00","538,032,400.00","544,364,600.00","553,073,000.00","556,630,100.00","557,910,900.00","539,284,600.00","550,074,300.00","557,227,000.00"
Jordan,...,...,...,...,...,...,...,...,...,...,...,...,111.71,110.46,138.28,162.81,177.61,207.21,211.56,244.15,232.24,246.97,275.98,290.14,328.52,414.37,560.09,682.77,831.15,988.71,"1,172.26","1,457.76","1,660.53","1,797.89","1,921.77","1,983.06","2,254.66","2,301.15","2,364.45","2,440.83","2,778.55","2,976.70","3,672.67","3,942.57","4,445.02","4,792.22","5,001.48","5,238.92","5,787.55","5,965.75","6,185.88","6,571.27","7,070.20","7,497.85","8,345.52","9,311.84","11,198.87","12,731.26","16,080.14","17,421.89","19,265.00","20,962.14","22,460.53","24,462.65","26,161.83","27,396.78","28,323.72","29,542.00","30,793.31","31,945.74","31,369.44","32,478.43","34,624.50"
"Kazakhstan, Rep. of",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"2,435.22","29,881.34","423,469.00","1,014,190.00","1,415,750.00","1,672,140.00","1,733,260.00","2,016,460.00","2,599,900.00","3,250,590.00","3,776,280.00","4,611,980.00","5,870,130.00","7,590,590.00","10,213,730.00","12,849,790.00","16,052,920.00","17,007,650.00","21,815,520.00","28,243,050.00","31,015,180.00","35,999,030.00","39,675,840.00","40,884,140.00","46,971,150.00","54,378,860.00","61,819,540.00","69,532,620.00","70,649,030.00","83,951,590.00","103,883,144.75"
Kenya,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"3,275,643.00","3,597,630.00","4,162,513.00","4,767,191.00","5,311,322.00","6,003,835.00","6,884,319.00","7,594,063.00","8,483,396.00","9,340,307.00","10,237,727.00","10,715,070.00","12,027,661.50","13,483,003.25"
Kiribati,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,146.61,158.92,168.15,169.79,169.31,175.16,183.14,191.16,197.32,226.67,240.12,245.53,262.64,252.34,258.14,302.79,...
"Korea, Rep. of",...,...,...,...,...,...,...,...,...,...,"249,870.00","301,710.00","365,880.00","518,540.00","739,680.00","831,390.00","1,066,070.00","1,313,620.00","1,692,890.00","2,212,660.00","2,796,600.00","3,438,100.00","4,267,700.00","5,527,400.00","7,905,000.00","10,543,600.00","14,472,800.00","18,608,100.00","25,154,400.00","32,402,300.00","39,725,100.00","49,669,800.00","57,286,600.00","68,080,100.00","78,591,300.00","88,129,700.00","102,985,900.00","121,697,800.00","145,994,800.00","165,801,800.00","200,556,300.00","242,481,100.00","277,540,700.00","315,181,300.00","372,493,400.00","436,988,700.00","490,850,900.00","542,001,800.00","537,215,400.00","591,453,000.00","651,634,300.00","707,021,300.00","784,741,300.00","837,365,100.00","908,439,300.00","957,447,800.00","1,005,601,500.00","1,089,660,200.00","1,154,216,600.00","1,205,347,800.00","1,322,611,200.00","1,388,937,200.00","1,440,111,300.00","1,500,819,200.00","1,562,929,000.00","1,658,020,400.00","1,740,779,600.00","1,835,698,200.00","1,898,192,600.00","1,924,498,000.00","1,940,726,300.00","2,080,198,500.00","2,161,773,900.00"
"Kosovo, Rep. of",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"3,537.60","3,610.44","4,030.99","4,555.90","4,797.28","5,071.33","5,325.10","5,674.41","6,037.28","6,356.45","6,671.51","7,056.17","6,771.59","7,957.87","8,954.88"
Kuwait,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"32,580.60","39,619.80","30,496.20","33,079.10","42,511.60","48,722.20","49,392.00","46,285.60","34,474.00","33,055.80","36,610.70","41,731.08","41,349.34","32,445.00","41,217.00",...
Kyrgyz Rep.,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,738.44,"5,336.18","12,019.20","16,145.10","23,399.30","30,685.70","34,181.40","48,744.00","65,357.90","73,883.30","75,366.68","83,871.61","94,350.73","100,899.20","113,800.10","141,897.70","187,991.90","201,222.90","220,369.30","285,989.10","310,471.30","355,294.80","400,694.00","430,489.40","476,331.20","530,476.00","569,385.60","619,102.70","601,820.30","739,818.50","919,444.60"
Lao People's Dem. Rep.,...,...,...,...,...,...,...,...,...,...,...,...,...,152.45,310.78,360.22,421.87,468.72,508.02,568.47,626.01,665.71,861.96,"1,225.76","1,905.62","2,636.52","3,010.32","5,605.28","6,165.80","6,233.82",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"81,610,000.00","93,868,000.00","106,797,000.00","117,252,000.00","129,279,000.00","140,749,000.00","152,414,200.00","162,657,000.00","172,611,900.00","184,982,000.00",...
Latvia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"4,059.34","4,682.20","5,395.98","6,014.65","6,272.63","6,868.49","7,470.97","8,406.36","9,571.79","11,096.72","13,662.28","17,199.98","22,703.84","24,527.91","19,000.01","18,087.98","19,763.84","21,924.45","22,749.01","23,625.80","24,572.13","25,371.32","26,984.43","29,153.56","30,572.87","30,109.46","33,348.93","38,870.03"
Lebanon,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"31,898,440.70","32,407,234.77","33,199,235.10","37,427,237.68","43,896,766.03","53,364,871.26","57,954,189.87","60,190,142.39","66,384,257.78","70,715,823.34","72,561,122.87","75,474,413.72","77,469,397.32","80,387,137.45","83,328,807.51","80,736,118.96","95,795,731.15",...,...
"Lesotho, Kingdom of",...,...,...,...,...,...,...,...,...,...,...,...,...,33.37,37.07,41.18,45.75,50.82,61.76,77.49,96.58,117.72,140.01,166.09,200.14,233.36,274.56,222.92,297.78,310.65,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"11,851.00","14,597.00","14,752.00","16,358.00","18,726.00","20,347.00","22,841.00","26,492.00","30,107.00","31,102.00","30,735.00","33,829.00","35,197.00","34,856.00","35,076.00","41,769.30"
Liberia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"35,313.25","43,910.37","58,240.23","42,368.41","49,262.67","53,920.72","64,340.22","82,336.98","105,916.11","120,539.60","140,405.31","169,036.48","196,622.08","235,971.94","259,264.44","266,477.24","307,451.50","374,268.86","470,223.22","574,244.32","581,688.97","582,820.77",...
Libya,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,11.90,10.28,10.25,9.77,9.15,9.00,"7,798.00","6,834.00","7,399.00","8,221.00","8,950.00","9,820.00","10,431.00","10,203.00","10,898.00","11,677.00","13,318.00","14,385.00","14,454.00","17,221.00","20,230.00","21,302.00","26,846.00","34,696.00","44,439.00","63,917.00","78,938.00","85,902.00","106,096.00","76,226.00","95,492.00","58,967.00","116,755.00","95,823.00","73,001.00","67,289.00","69,396.00","93,605.00","104,674.00","96,836.00","65,048.00","176,089.00",...
Lithuania,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"7,760.93","9,711.15","11,722.43","13,021.02","12,710.58","13,351.45","14,177.01","15,182.39","16,650.00","18,219.67","20,979.92","24,053.29","29,011.22","32,660.07","26,897.01","28,033.83","31,317.17","33,410.16","35,039.54","36,581.31","37,345.70","38,889.86","42,276.30","45,515.23","48,959.16","49,873.17","56,478.11","67,399.06"
Luxembourg,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"15,239.44","16,037.15","17,349.21","18,131.02","20,547.76","22,986.03","23,879.89","25,011.09","26,227.29","28,189.39","30,280.99","34,175.05","37,641.90","40,009.56","39,050.74","42,402.72","44,323.47","46,526.24","49,094.49","51,791.32","54,142.30","56,208.07","58,168.78","60,121.16","62,431.53","64,524.27","72,360.86","77,529.00"
"Madagascar, Rep. of",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"15,974,090.00","18,322,510.00","18,812,600.00","20,863,370.00","23,393,790.00","25,415,470.00","27,417,730.00","30,240,590.00","33,216,180.00","37,637,590.00","41,058,840.00","45,886,300.00","51,035,216.51","49,435,649.38","54,675,828.22",...
Malawi,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"2,454.00","2,705.00","3,041.00","3,509.00","4,169.00","4,749.00","5,366.00","6,260.00","8,345.00","10,253.00","11,522.00","15,082.00","15,832.00","22,259.00","25,594.00","52,148.00","85,257.00","106,928.00","132,810.00","191,167.00","253,471.00","301,640.00","377,436.00","440,249.00","533,018.00","609,565.00","765,649.00","873,554.00","1,052,790.00","1,230,570.00","1,474,650.00","1,763,870.00","2,114,440.00","2,831,660.00","3,618,120.00","4,503,570.00","5,552,070.00","6,531,220.00","7,235,940.00","8,219,850.00","8,815,340.00","9,596,860.00",...
Malaysia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,176,941.19","1,249,697.69","1,372,309.83","1,447,759.64","1,512,737.75","1,418,000.34","1,545,371.58",...
Maldives,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"56,866.00","63,146.65","67,300.32","73,152.50","81,586.19","86,258.60","57,568.67","80,191.54",...
Mali,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"743,753.67","848,539.56","819,291.61","865,056.04","1,239,996.83","1,416,037.18","1,610,218.31","1,676,208.57","1,932,133.85","2,117,674.00","2,103,270.24","2,540,202.71","2,711,115.44","2,733,678.21","2,876,233.00","3,294,055.00","3,607,837.00","3,903,961.00","4,366,470.00","4,807,339.00","5,288,939.00","6,123,929.00","6,352,360.00","6,540,560.00","7,092,793.00","7,747,690.00","8,311,915.00","8,922,205.00","9,481,952.94","10,124,689.26","10,052,835.65","10,623,175.07",...
Malta,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"3,059.66","3,209.69","3,410.66","3,629.17","3,829.56","4,153.35","4,285.84","4,515.60","4,787.52","4,895.55","5,159.25","5,403.00","5,790.28","6,206.02","6,259.64","6,815.80","6,924.60","7,364.46","7,944.35","8,751.10","9,996.71","10,541.13","11,936.60","13,044.02","14,285.61","13,353.75","15,292.62","17,212.47"
"Marshall Islands, Rep. of the",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,132.93,137.67,142.75,149.87,145.97,150.62,160.32,171.57,179.86,185.47,185.17,183.00,200.72,212.70,219.33,232.09,241.72,259.54,...
"Mauritania, Islamic Rep. of",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"38,304.84","41,607.90","42,516.91","44,634.48","48,289.61","53,951.34","62,684.95","77,980.68","105,279.85","112,387.26","124,019.07","123,694.88","155,297.48","190,166.09","199,572.13","217,184.51","199,572.60","200,220.60","225,473.20","243,406.90","266,637.60","295,952.63","312,593.49","360,497.75",...
Mauritius,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,269.69","1,205.53","1,272.14","1,260.73","1,335.68","1,334.22","1,433.89","1,444.83","1,513.28","1,722.75","2,186.52","3,049.54","3,543.75","4,888.20","5,686.88","6,539.60","7,634.02","9,413.57","10,396.77","12,133.66","13,833.54","15,090.89","17,101.27","20,063.67","24,383.21","29,503.15","34,404.27","40,221.73","46,598.26","52,174.94","60,981.11","68,881.76","76,153.39","81,279.42","89,552.76","103,065.76","114,231.01","127,815.86","140,326.69","151,461.11","169,457.47","188,897.43","199,845.59","222,870.00","255,211.00","284,254.00","291,756.00","307,957.00","330,647.00","350,644.00","377,411.00","400,351.00","420,936.00","447,620.00","472,861.00","500,047.00","512,108.00","448,596.00","478,477.00","569,883.00"
Mexico,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,651,777.90","1,868,526.40","2,440,392.40","3,284,161.80","4,144,914.20","5,092,988.00","6,034,995.10","7,016,603.90","7,437,107.70","7,827,758.00","8,259,533.10","9,248,389.80","9,999,599.00","11,120,115.80","12,046,753.20","12,927,761.30","12,749,117.90","13,968,149.50","15,268,436.70","16,529,124.00","16,954,005.70","18,137,650.60","19,228,614.70","20,758,790.50","22,536,210.30","24,176,670.40","25,143,134.20","24,079,804.30","26,608,701.40","29,503,758.30"
"Micronesia, Federated States of",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,137.00,144.20,157.60,175.50,188.60,206.10,213.20,221.60,218.50,206.60,218.90,220.10,233.30,241.00,242.50,245.40,240.20,250.30,253.50,256.80,263.10,280.30,296.90,311.30,327.20,317.20,319.30,316.50,332.30,366.70,401.90,415.90,411.70,406.90,...
"Moldova, Rep. of",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"16,019.56","19,051.53","22,555.86","27,618.92","32,031.78","37,651.87","44,754.37","53,429.57","62,921.54","60,429.80","86,275.38","98,772.81","105,480.18","119,532.87","131,964.26","146,740.21","159,010.42","176,007.29","189,062.63","206,256.24","199,733.68","242,078.63","274,207.50"
Mongolia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"22,894,780.90","23,931,342.60","28,010,710.60","32,582,629.10","37,839,225.40","37,883,041.70","44,702,733.24","54,877,815.56"
Montenegro,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"2,169.63","2,689.13","3,103.33","2,993.88","3,125.09","3,264.78","3,181.48","3,362.48","3,457.92","3,654.51","3,954.21","4,299.09","4,663.13","4,950.72","4,185.55","4,955.12","5,924.02"
Montserrat,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,117.73,124.93,135.16,152.99,171.96,203.62,173.74,181.86,181.30,197.43,185.89,148.29,118.82,106.09,99.98,97.04,97.02,107.55,111.51,119.04,131.96,139.34,145.99,154.99,160.39,149.88,171.99,170.29,157.61,153.72,165.61,169.27,162.27,169.84,177.24,180.49,190.47,198.03
Morocco,...,...,...,...,...,...,...,...,...,...,...,...,"15,006.65","16,330.49","17,171.59","18,101.78","17,669.78","18,665.40","21,084.09","21,048.68","22,389.99","24,662.87","26,133.84","28,254.94","37,956.58","42,633.27","49,507.77","58,163.09","64,466.69","72,518.90","85,537.48","92,005.76","106,560.97","115,569.01","130,613.27","150,857.28","177,191.43","181,940.17","211,017.35","223,360.36","248,753.51","281,095.96","287,825.11","294,364.25","327,664.88","333,318.64","376,190.91","372,961.51","401,523.65","408,177.05","412,897.15","446,011.65","465,492.18","498,482.12","528,763.55","552,670.90","603,737.24","647,532.00","716,959.00","748,483.00","784,624.00","820,077.00","847,881.00","897,923.00","1,001,454.00","1,078,119.00","1,094,249.00","1,148,895.00","1,195,237.00","1,239,836.00","1,152,477.00","1,274,727.00","1,330,158.00"
"Mozambique, Rep. of",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"4,681.87","5,880.30","9,462.19","15,153.79","23,208.57","39,797.22","48,797.95","57,867.81","67,740.38","76,386.78","98,692.59","119,136.12","133,118.28","154,271.13","178,119.62","211,133.44","242,038.01","279,330.65","300,269.92","377,114.98","418,037.21","463,921.38","510,996.64","555,447.07","637,759.62","752,701.81","840,526.22","895,566.72","962,620.79","983,406.62","1,032,825.50",...
Myanmar,"4,456.00","4,952.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,562,780.00","2,175,920.00","2,715,860.00","3,493,530.00","5,252,850.00","7,639,510.00","9,617,070.00","12,233,920.00","16,685,190.00","23,012,010.00","29,090,660.00","33,073,780.00","37,116,330.00","42,881,380.00","49,353,310.00","55,248,770.00","61,636,860.00","68,988,060.00","74,215,750.00","82,700,020.00","92,788,960.00","105,258,500.00","115,105,760.00","98,654,170.00",...
Namibia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"61,582.89","70,110.51","75,214.18","82,599.19","90,107.56","106,862.61","117,423.15","134,835.97","146,018.66","157,707.67","171,570.02","181,067.05","181,210.80","174,243.08","183,939.69","206,205.45"
"Nauru, Rep. of",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,45.00,42.00,39.00,29.00,42.00,60.00,54.00,67.00,94.00,96.00,114.00,104.00,137.00,145.00,160.00,166.00,171.00,179.00,...
Nepal,...,...,...,...,...,...,...,...,...,...,...,...,...,"5,607.30","6,201.68","6,893.79","8,439.72","8,079.50","8,228.20","8,945.16","10,572.75","10,234.64","11,438.75","12,685.88","16,163.38","17,551.59","17,753.27","20,099.34","22,951.40","25,839.51","27,160.81","31,762.24","34,604.65","40,374.30","47,751.05","57,172.60","68,387.20","78,377.00","94,382.77","109,555.25","126,917.13","151,934.59","187,418.52","215,605.47","244,556.26","268,982.19","305,478.10","344,259.16","369,211.57","419,763.17","465,726.08","504,737.25","525,227.70","562,710.70","613,603.31","673,806.41","747,738.97","832,040.66","932,447.98","1,129,776.89","1,363,560.51","1,559,222.87","1,741,863.57","1,914,628.24","2,140,697.36","2,361,002.25","2,577,976.71","2,933,204.25","3,177,402.66","3,565,099.09","3,788,088.81","4,177,372.65","4,724,839.23"
"Netherlands, The",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"329,547.00","344,625.00","369,046.00","394,295.00","419,459.00","452,007.00","481,881.00","501,137.00","512,810.00","529,286.00","550,883.00","584,546.00","619,170.00","647,198.00","624,842.00","639,187.00","650,359.00","652,966.00","660,463.00","671,560.00","690,008.00","708,337.00","738,146.00","773,987.00","813,055.00","796,530.00","870,587.00","958,549.00"
New Zealand,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"69,278.00","73,684.00","76,679.00","75,233.00","77,308.00","82,844.00","89,105.00","94,852.00","100,484.00","103,861.00","105,866.00","111,212.00","118,342.00","126,300.00","133,688.00","141,535.00","153,011.00","160,804.00","168,959.00","183,229.00","189,445.00","191,875.00","201,529.00","211,003.00","215,941.00","228,071.00","240,928.00","251,679.00","266,808.00","286,431.00","302,578.00","319,803.00","322,968.00","352,870.00","380,682.00"
Nicaragua,...,...,...,...,...,...,...,...,...,...,...,...,...,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,6.75,519.21,"15,706.17","19,470.45","23,364.54","25,960.60","31,177.74","36,340.95","41,476.83","49,050.86","57,346.03","64,812.01","71,563.32","74,445.04","80,390.36","92,323.40","105,776.81","118,837.71","136,950.18","164,602.37","168,791.31","187,052.64","219,182.21","247,993.87","271,529.83","308,403.12","347,707.29","380,260.77","414,279.06","410,987.59","417,705.14","433,447.92","492,851.96","562,208.43"
Niger,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"2,418,864.00","2,596,972.00","2,762,961.00","3,247,835.00","3,403,683.00","3,779,678.00","4,058,432.00","4,679,848.00","5,013,245.00","5,377,790.00","5,725,216.00","6,162,425.00","6,494,707.27","7,114,526.30","7,567,896.26","7,910,954.53","8,270,826.12",...
Nigeria,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"55,469,350.31","63,713,359.39","72,351,452.21","81,009,964.62","90,136,984.65","95,177,735.68","102,575,418.03","114,899,249.90","129,086,907.45","145,639,139.38","154,252,318.90","176,075,501.87","202,365,026.79"
"North Macedonia, Republic of",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"248,646.45","252,393.47","258,580.68","268,693.55","280,786.04","308,447.20","334,840.15","372,889.24","414,890.11","414,621.90","437,295.51","464,186.33","466,702.70","501,891.00","527,631.00","558,953.62","594,794.86","618,105.48","660,878.20","692,682.87","669,280.18","720,413.67","794,798.21"
Norway,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"91,530.00","102,897.00","114,362.00","129,928.00","150,379.00","171,849.00","196,119.00","220,968.00","243,887.00","269,067.00","318,279.00","365,013.00","404,325.00","449,657.00","506,486.00","562,402.00","581,912.00","634,874.00","664,084.00","708,636.00","749,861.00","790,087.00","813,093.00","855,401.00","897,242.00","963,138.00","1,054,672.00","1,141,340.00","1,163,683.00","1,266,463.00","1,509,132.00","1,566,708.00","1,564,145.00","1,624,095.00","1,788,123.00","1,997,037.00","2,224,871.00","2,360,174.00","2,622,135.00","2,439,712.00","2,605,351.00","2,809,929.00","2,983,082.00","3,090,335.00","3,161,776.00","3,130,183.00","3,116,035.00","3,323,103.00","3,576,581.00","3,596,937.00","3,461,575.00","4,211,620.00","5,570,664.00"
Oman,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"6,168.99","6,856.65","8,558.78","8,538.08","8,868.72","9,510.13","10,911.69","13,652.39","16,371.10","18,571.46","26,839.89","21,322.11","24,990.02","29,797.76","33,608.68","34,580.44","35,642.81","30,264.33","28,887.04","31,089.35","35,184.03","33,859.43","29,187.16","33,909.82",...
Pakistan,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"9,247,400.00","10,399,500.00","11,973,000.00","14,856,500.00","16,733,000.00","20,570,400.00","22,562,600.00","25,195,400.00","28,327,900.00","30,887,500.00","32,725,049.00","35,552,819.00","39,189,810.00","43,798,401.00","47,540,409.00","55,795,515.00","66,949,907.00"
"Palau, Rep. of",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,149.00,155.00,162.00,153.00,164.00,183.00,189.00,193.00,194.00,182.00,182.00,193.00,211.00,222.00,241.00,288.00,298.00,286.00,285.00,279.00,252.00,218.00,...
