Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Benin,...,...,...,...,...,...,...,...,...,...,...,...,"148,214.99","168,532.14","187,659.49","203,306.84","218,253.22","228,257.42","244,301.30","256,522.03","278,269.18","291,533.47","329,969.72","360,678.62","381,585.29","261,233.61","294,889.59","342,353.29","381,751.12","448,142.60",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"2,263,338.23","2,499,925.50","2,685,132.76","2,909,671.46","3,102,020.94","3,264,365.14","3,462,850.97","3,674,799.89","3,909,982.23","4,365,329.92","4,580,012.18","4,718,033.73","5,039,212.52","5,688,291.39","6,182,559.16","6,559,332.79","6,732,809.00","7,005,230.00","7,375,302.20","7,922,004.06","8,432,247.51","9,008,810.37","9,809,693.96","10,854,508.07"
Bermuda,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"6,085.19","5,983.69","5,945.28","5,736.38","5,668.91","5,653.43","5,672.07","5,843.93",...,...,...,...,...,...,...
Bhutan,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"70,782.71","82,938.12","95,186.52","102,909.95","116,388.56","128,534.63","145,072.86","159,571.70","167,339.97","178,561.73","172,295.25","187,772.77",...
Bolivia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"15,443.14","19,132.13","22,014.01","24,458.97","27,636.34","32,235.07","37,536.65","41,643.87","46,822.33","48,156.17","51,928.49","53,790.33","56,682.33","61,904.45","69,626.11","77,023.82","91,747.80","103,009.18","120,693.76","121,726.75","137,875.57","166,231.56","187,153.88","211,856.03","228,003.66","228,031.37","234,533.18","259,184.72","278,387.65","282,586.68","253,112.22","279,220.72","304,000.73"
Bosnia and Herzegovina,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"11,819.60","12,678.17","13,982.39","14,728.01","15,998.15","17,650.34","20,057.21","22,547.86","25,519.33","24,798.52","25,364.95","26,231.26","26,222.71","26,778.75","27,358.71","28,928.94","30,265.11","31,802.73","33,941.78","35,784.88","34,727.50","39,107.07","45,604.63"
Botswana,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"57,831.67","64,870.36","73,257.85","72,399.01","85,852.90","103,330.10","106,260.33","119,867.02","140,517.81","137,539.20","164,418.20","166,646.70","173,725.40","179,579.70","171,041.90","195,300.48","251,773.80"
Brazil,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"854,763.60","952,089.20","1,002,351.00","1,087,710.50","1,199,092.10","1,315,755.50","1,488,787.30","1,717,950.40","1,957,751.20","2,170,584.50","2,409,449.90","2,720,262.90","3,109,803.10","3,333,039.40","3,885,847.00","4,376,382.00","4,814,760.00","5,331,619.00","5,778,953.00","5,995,787.00","6,269,328.00","6,585,479.00","7,004,141.00","7,389,131.00","7,609,597.00","8,898,727.50","9,915,316.40"
Brunei Darussalam,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"17,778.01","15,747.72","16,747.68","18,300.66","18,374.99","16,564.44","18,822.03","23,003.10"
Bulgaria,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,275.68","2,187.14","19,032.36","26,460.04","25,042.94","28,124.88","30,986.69","34,068.71","36,637.91","41,201.30","47,017.24","53,608.44","63,494.49","72,847.05","73,181.47","74,877.68","81,124.45","82,645.91","82,241.82","84,150.30","89,599.76","95,390.49","102,740.64","109,964.38","120,396.03","120,553.38","139,012.33","165,383.64"
Burkina Faso,...,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,086,187.98","2,108,160.11","2,336,620.42","2,512,872.15","2,749,159.24","2,874,882.70","3,240,716.11","3,420,539.89","3,649,928.07","4,215,340.62","4,444,600.58","5,002,180.00","5,692,820.00","6,413,110.00","6,640,130.00","6,884,470.00","6,995,310.00","7,605,120.00","8,191,300.00","8,826,081.00","9,478,963.29","10,322,332.75","10,944,407.02",...
Burundi,...,...,...,...,...,...,...,...,...,...,...,...,...,"10,790.25","11,953.02","13,241.08","14,667.95","14,651.31","15,846.81","17,875.23","19,560.61","23,864.54","22,110.07","25,104.31","28,819.37","33,712.53","38,837.40","46,633.90","48,210.84","61,821.11","85,545.97","89,022.49","94,026.92","102,818.65","120,365.13","141,246.24","140,741.60","143,487.64","152,798.00","179,420.01","193,661.85","211,848.87","225,439.18","227,737.54","233,554.39","249,686.88","262,893.36","342,542.34","399,881.03","487,880.42","627,261.97","727,963.00","768,145.29","849,381.92","1,007,491.57","1,208,244.00","1,309,900.00","1,467,231.00","1,911,139.00","2,184,177.00","2,501,047.00","2,819,534.00","3,365,810.00","3,812,500.00","4,184,999.00","4,879,793.00","4,897,101.00","5,485,068.00","5,414,485.00","5,559,586.34","5,910,572.98","6,612,792.68","7,921,684.63"
Cabo Verde,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"132,984.30","147,629.99","148,252.37","151,962.91","162,265.35","165,135.17","168,546.70","169,550.65","173,910.81","184,402.08","195,295.18","205,986.24","221,828.59","176,319.80","186,237.29","235,002.54"
Cambodia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"6,813,193.49","7,105,040.20","8,433,706.91","9,201,920.59","10,145,328.87","11,720,318.19","13,376,073.14","14,082,638.23","15,633,218.03","16,780,539.57","18,535,164.49","21,438,339.67","25,754,291.42","29,849,484.83","35,042,180.74","41,968,385.40","43,056,731.75","47,047,985.23","52,068,692.72","56,616,800.45","62,219,524.10","67,740,449.59","73,422,701.56","81,241,866.02","89,830,524.85","99,544,274.79","110,014,048.24","105,891,753.04","110,505,915.92",...
Cameroon,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"4,582,084.40","4,942,679.98","5,423,134.09","5,674,926.77","6,297,476.44","6,665,360.71","7,118,457.97","7,504,468.92","8,022,307.42","8,614,011.51","9,261,144.60","9,927,778.71","10,286,732.74","10,924,187.81","11,452,867.47","12,360,954.48","13,136,692.23","13,610,554.06","14,434,774.48","15,395,858.20","16,658,553.32","17,966,123.16","19,043,066.56","20,038,566.00","20,960,865.00","22,203,329.00","23,243,662.00","23,468,507.00","25,141,470.00",...
Canada,...,...,...,...,...,...,...,...,...,...,...,"42,099.00","45,816.00","49,302.00","54,068.00","59,659.00","66,809.00","71,913.00","78,569.00","86,518.00","93,237.00","101,767.00","113,625.00","133,080.00","158,306.00","178,045.00","206,007.00","227,579.00","252,044.00","287,574.00","322,748.00","368,358.00","388,181.00","421,316.00","461,986.00","500,027.00","526,630.00","574,336.00","626,894.00","671,579.00","695,501.00","701,773.00","718,436.00","747,037.00","791,972.00","831,621.00","859,834.00","906,926.00","940,548.00","1,007,927.00","1,106,071.00","1,144,543.00","1,193,694.00","1,254,747.00","1,335,731.00","1,421,590.00","1,496,604.00","1,577,661.00","1,657,041.00","1,571,334.00","1,666,048.00","1,774,063.00","1,827,201.00","1,902,247.00","1,994,898.00","1,990,441.00","2,025,535.00","2,140,641.00","2,235,675.00","2,313,563.00","2,209,681.00","2,509,618.00","2,782,645.00"
Cayman Islands,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"3,500.23","3,721.88","3,821.61","3,568.08","3,464.02","3,488.38","3,575.82","3,671.48","3,802.36","3,923.46","4,091.09","4,305.22","4,608.46","4,951.56","4,706.00","5,023.62",...
Central African Rep.,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"168,400.00","218,100.00","240,400.00","253,900.00","278,700.00","379,900.00","386,042.00","362,243.00","380,169.00","402,884.00","404,996.00","396,168.00","377,857.00","366,245.00","473,619.00","560,037.00","516,647.00","566,036.00","606,400.00","638,667.00","616,016.00","659,237.00","684,959.00","690,665.00","691,968.00","745,210.00","803,945.00","841,079.00","910,457.00","972,276.00","1,060,142.00","1,148,896.00","1,281,561.00","835,454.00","935,578.00","1,002,592.00","1,081,516.00","1,203,324.00","1,265,328.00","1,334,895.00","1,372,814.00","1,432,021.00",...
Chad,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"166,130.00","251,026.00","283,845.00","352,322.00","435,069.00","441,746.00","419,241.00","412,379.00","477,903.00","483,335.00","497,141.00","510,382.00","499,179.00","466,681.00","741,300.00","816,756.00","930,503.00","1,020,297.00","1,164,875.00","1,069,308.00","1,115,969.00","1,417,998.00","1,567,753.00","1,799,591.00","2,639,318.00","3,518,122.00","3,892,341.00","4,157,426.00","4,652,386.00","4,385,556.00","5,290,608.00","5,742,404.00","6,332,447.00","6,417,738.00","6,912,490.00","6,474,073.00","6,047,146.00","5,854,572.00","6,130,689.00","6,440,466.00","6,165,754.00","6,537,834.00",...
Chile,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"32,393,861.80","35,946,985.00","37,741,618.70","38,461,785.40","42,215,029.90","45,409,054.80","48,428,963.20","52,897,338.90","60,391,763.20","68,467,939.80","81,577,533.50","90,159,479.20","93,867,121.30","96,138,477.30","110,777,866.90","121,509,298.50","129,973,394.00","137,309,192.00","147,951,290.00","158,622,902.90","168,764,687.90","179,314,910.10","189,434,867.40","195,752,228.50","201,428,894.20","240,371,473.10","262,593,355.80"
"China, P.R.: Hong Kong",...,...,...,...,...,...,...,...,...,...,...,"7,455.00","8,687.00","10,427.00","11,888.00","13,953.00","14,282.00","15,475.00","16,533.00","19,437.00","23,106.00","26,681.00","32,213.00","41,327.00","47,240.00","49,589.00","63,156.00","73,284.00","85,782.00","112,691.00","143,619.00","173,578.00","196,005.00","217,281.00","261,992.00","278,128.00","320,525.00","394,770.00","466,076.00","536,558.00","599,256.00","691,323.00","807,130.00","931,010.00","1,049,610.00","1,119,006.00","1,235,301.00","1,373,083.00","1,308,074.00","1,285,946.00","1,337,501.00","1,321,142.00","1,297,341.00","1,256,669.00","1,316,949.00","1,412,125.00","1,503,351.00","1,650,756.00","1,707,487.00","1,659,245.00","1,776,332.00","1,934,430.00","2,037,059.00","2,138,305.00","2,260,005.00","2,398,280.00","2,490,598.00","2,659,611.00","2,835,429.00","2,845,022.00","2,675,793.00","2,867,622.00","2,818,046.00"
"China, P.R.: Macao",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"55,112.00","59,220.00","66,147.00","85,382.00","97,415.00","119,014.00","148,181.00","168,639.00","172,363.00","225,997.00","295,438.00","345,080.00","411,739.00","438,516.00","359,708.00","360,344.00","404,839.00","446,283.00","445,530.00","203,399.00","241,157.00","177,269.00"
"China, P.R.: Mainland",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"2,719,450.00","3,567,330.00","4,863,740.00","6,133,990.00","7,181,370.00","7,971,510.00","8,519,550.00","9,056,430.00","10,028,010.00","11,086,310.00","12,171,740.00","13,742,210.00","16,184,020.00","18,731,900.00","21,943,850.00","27,009,230.00","31,924,450.00","34,851,770.00","41,211,920.00","48,794,010.00","53,857,980.00","59,296,330.00","64,356,300.00","68,885,820.00","74,639,500.00","83,203,600.00","91,928,110.00","98,651,520.00","101,356,700.00","114,923,690.00","121,020,720.00"
Colombia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"337,958,000.00","381,604,000.00","428,506,000.00","476,554,000.00","501,574,000.00","544,060,000.00","619,023,000.00","666,507,000.00","714,093,000.00","762,903,000.00","804,692,000.00","863,782,000.00","920,471,000.00","987,791,000.00","1,060,068,000.00","997,742,000.00","1,192,586,000.00","1,462,522,439.50"
"Comoros, Union of the",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"285,627.00","306,288.00","319,332.00","336,947.00","361,596.00","388,984.00","413,477.00","425,713.00","428,346.00","450,159.00","469,217.00","495,235.00","525,167.00","526,820.00","535,757.78",...
